StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q4,Q5,Q6_1,Q7,Q7_8_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"UNIVERSITY OF WISCONSIN-MADISON

Research Participant Information and Consent Form 

Title of the Study: Learning meanings of words and objects

Principal Investigator: Tim Rogers (ttrogers@wisc.edu)

DESCRIPTION OF THE RESEARCH

You are invited to participate in a research study about the process by which people learn to recognize and understand the meanings of words and pictures. This study is recruiting Amazon Mechanical Turk workers above the age of 18. Your participation is voluntary. The research will be conducted online through a web browser.

WHAT WILL MY PARTICIPATION INVOLVE?

Participants will be asked to complete one session of less than half an hour. During this time you will view words or pictures on the computer screen and will be asked to press keys on the keyboard or mouse in response. You may also be asked to complete one or more questionnaires.

HOW WILL I BE COMPENSATED FOR PARTICIPATING?

You will be compensated with extra credit in your introductory Psychology class at the normal rate of 1 credit for every half hour of participation.

ARE THERE ANY RISKS TO ME?

Participants may risk accidental breach of confidentiality. There are no other anticipated risks to subjects participating in this experiment.

ARE THERE ANY BENEFITS TO ME?

There are no direct benefits to you for participation in this study.

HOW WILL MY CONFIDENTIALITY BE PROTECTED?

All data will be identified only with a randomly-generated participant number and not with your name or other identifying information. While there will probably be publications as a result of this study, your name will not be used. Only group characteristics will be published.

WHOM SHOULD I CONTACT IF I HAVE QUESTIONS?

You may ask any questions about the research at any time by emailing the Principal Investigator Tim Rogers at ttrogers@wisc.edu. If you have questions about your rights as a research participant you should contact the Social & Behavioral Science IRB at UW Madison at (608) 263-2320.

Your participation is completely voluntary. If you decide not to participate or to withdraw from the study it will have no effect on your grade in class.

Clicking “I consent” below indicates that you have read this document and voluntarily consent to participate in the study.",Please select the gender identity that you identify as:,Please move the slider to select your age : - Age in years,Please select the ethnicity that you identify as:,Please select your highest level of education you have completed:,Please move the slider to select your approximated annual household income: - In US Dollars,Please select all the languages that you speak fluently: - Selected Choice,Please select all the languages that you speak fluently: - Other - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_8_TEXT""}"
2022-01-28 14:15:22,2022-01-28 14:15:42,IP Address,107.208.176.119,100,20,True,2022-01-28 14:15:42,R_9tuO9uKtYvcAu77,,,,,43.1204986572265625,-89.35230255126953125,anonymous,EN,I consent,Non-binary / third gender,33,Hispanic or Latino,Master's degree,30070,"English,Spanish",
2022-01-28 14:31:36,2022-01-28 14:33:33,IP Address,72.33.2.77,100,117,True,2022-01-28 14:33:34,R_3gTyBKYevGSB3Jl,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,19,White or Caucasian,Some college,139859,English,
2022-01-28 14:39:17,2022-01-28 14:47:08,IP Address,72.33.2.38,100,470,True,2022-01-28 14:47:08,R_1JUCZQoBJQ37r1v,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,18,White or Caucasian,Some college,150000,English,
2022-01-28 14:54:17,2022-01-28 15:04:00,IP Address,68.187.66.35,100,583,True,2022-01-28 15:04:01,R_PHuZRi2DwIOyatP,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,20,White or Caucasian,Some college,15000,English,
2022-01-28 15:22:29,2022-01-28 15:26:55,IP Address,72.33.2.82,100,265,True,2022-01-28 15:26:55,R_6RMpmLNRCsm1qlr,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,,White or Caucasian,Some college,150000,English,
2022-01-28 18:37:08,2022-01-28 18:38:10,IP Address,72.33.2.64,100,61,True,2022-01-28 18:38:10,R_Dr59VIhnlejDcyd,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Male,20,Other,High school graduate,0,"English,Other",Persian
2022-01-28 18:34:25,2022-01-28 18:40:02,IP Address,72.33.2.142,100,337,True,2022-01-28 18:40:03,R_QmQBnQtQGbwQ8o1,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,18,White or Caucasian,High school graduate,150000,English,
2022-01-28 18:38:35,2022-01-28 18:53:44,IP Address,72.33.2.64,100,909,True,2022-01-28 18:53:45,R_3MyrNAV2LiCZm3N,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Male,20,Other,High school graduate,,"English,Other",Persian
2022-01-31 10:08:44,2022-01-31 10:14:57,IP Address,72.33.2.233,100,373,True,2022-01-31 10:14:57,R_UYlyUzspHyXrAVX,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,20,White or Caucasian,Some college,,English,
2022-01-31 10:19:31,2022-01-31 10:22:06,IP Address,72.33.0.186,100,155,True,2022-01-31 10:22:07,R_2CmhtxgCcveKy9m,,,,,43.0782012939453125,-89.407501220703125,anonymous,EN,I consent,Male,18,White or Caucasian,Some college,150000,English,
2022-01-31 11:19:47,2022-01-31 11:25:10,IP Address,24.196.82.18,100,323,True,2022-01-31 11:25:11,R_3h5btUeTk2xMVsi,,,,,43.06280517578125,-89.31710052490234375,anonymous,EN,I consent,Female,20,White or Caucasian,Some college,100070,English,
2022-01-31 12:02:57,2022-01-31 12:08:06,IP Address,72.33.2.99,100,309,True,2022-01-31 12:08:07,R_27J4A8pW7K1TyQT,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,19,White or Caucasian,High school graduate,150000,English,
2022-01-31 12:11:29,2022-01-31 12:16:17,IP Address,72.33.2.130,100,287,True,2022-01-31 12:16:17,R_DB4edIPY1sIfoBj,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Male,19,White or Caucasian,Some college,50282,English,
2022-01-31 12:20:08,2022-01-31 12:27:13,IP Address,72.33.2.130,100,425,True,2022-01-31 12:27:14,R_1GDqI0dEabMkEki,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Male,19,White or Caucasian,Some college,50704,English,
2022-01-31 12:46:37,2022-01-31 12:55:57,IP Address,72.33.2.158,100,559,True,2022-01-31 12:55:57,R_1n3dfka1MdAFVy1,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Male,19,White or Caucasian,Some college,150000,English,
2022-02-01 09:03:43,2022-02-01 09:08:43,IP Address,75.128.216.21,100,299,True,2022-02-01 09:08:43,R_2c12xJD61WB6v9D,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,20,White or Caucasian,Some college,60634,English,
2022-02-01 09:09:48,2022-02-01 09:27:06,IP Address,72.33.2.245,100,1037,True,2022-02-01 09:27:06,R_r1rJvGyoLP3SIEN,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Male,,Asian,High school graduate,59789,"English,Chinese",
