StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q4,Q5,Q6_1,Q7,Q7_8_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"UNIVERSITY OF WISCONSIN-MADISON

Research Participant Information and Consent Form 

Title of the Study: Learning meanings of words and objects

Principal Investigator: Tim Rogers (ttrogers@wisc.edu)

DESCRIPTION OF THE RESEARCH

You are invited to participate in a research study about the process by which people learn to recognize and understand the meanings of words and pictures. This study is recruiting Amazon Mechanical Turk workers above the age of 18. Your participation is voluntary. The research will be conducted online through a web browser.

WHAT WILL MY PARTICIPATION INVOLVE?

Participants will be asked to complete one session of less than half an hour. During this time you will view words or pictures on the computer screen and will be asked to press keys on the keyboard or mouse in response. You may also be asked to complete one or more questionnaires.

HOW WILL I BE COMPENSATED FOR PARTICIPATING?

You will be compensated with extra credit in your introductory Psychology class at the normal rate of 1 credit for every half hour of participation.

ARE THERE ANY RISKS TO ME?

Participants may risk accidental breach of confidentiality. There are no other anticipated risks to subjects participating in this experiment.

ARE THERE ANY BENEFITS TO ME?

There are no direct benefits to you for participation in this study.

HOW WILL MY CONFIDENTIALITY BE PROTECTED?

All data will be identified only with a randomly-generated participant number and not with your name or other identifying information. While there will probably be publications as a result of this study, your name will not be used. Only group characteristics will be published.

WHOM SHOULD I CONTACT IF I HAVE QUESTIONS?

You may ask any questions about the research at any time by emailing the Principal Investigator Tim Rogers at ttrogers@wisc.edu. If you have questions about your rights as a research participant you should contact the Social & Behavioral Science IRB at UW Madison at (608) 263-2320.

Your participation is completely voluntary. If you decide not to participate or to withdraw from the study it will have no effect on your grade in class.

Clicking “I consent” below indicates that you have read this document and voluntarily consent to participate in the study.",Please select the gender identity that you identify as:,Please move the slider to select your age : - Age in years,Please select the ethnicity that you identify as:,Please select your highest level of education you have completed:,Please move the slider to select your approximated annual household income: - In US Dollars,Please select all the languages that you speak fluently: - Selected Choice,Please select all the languages that you speak fluently: - Other - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_8_TEXT""}"
2021-12-03 14:50:33,2021-12-03 14:50:40,Survey Preview,,100,6,True,2021-12-03 14:50:40,R_Y4Bo1OhPYIjru2B,,,,,43.1204986572265625,-89.35230255126953125,preview,EN,I do not consent,,,,,,,
2021-12-03 14:50:45,2021-12-03 14:51:28,Survey Preview,,100,42,True,2021-12-03 14:51:29,R_2WC42FjaYRnS62E,,,,,43.1204986572265625,-89.35230255126953125,preview,EN,I consent,Non-binary / third gender,33,Hispanic or Latino,Master's degree,20102,"English,Spanish",
2021-12-03 14:57:05,2021-12-03 14:57:35,Survey Preview,,100,29,True,2021-12-03 14:57:35,R_1kLZqwdNSkBAhtk,,,,,43.1204986572265625,-89.35230255126953125,preview,EN,I consent,,,,,,,
2021-12-13 13:39:03,2021-12-13 13:40:12,IP Address,72.33.2.27,100,68,True,2021-12-13 13:40:12,R_W2vbx1LBbKDwsgN,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,18,Multiple ethnicities,High school graduate,99507,English,
2021-12-13 13:42:23,2021-12-13 13:44:39,IP Address,72.33.2.163,100,136,True,2021-12-13 13:44:39,R_27UoZyILkgiHM31,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,18,White or Caucasian,Some college,150000,English,
2021-12-13 13:50:35,2021-12-13 13:51:21,IP Address,72.33.2.66,100,46,True,2021-12-13 13:51:21,R_1i24Ja1x2D7K3y1,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,18,Multiple ethnicities,Some college,,English,
2021-12-13 13:51:19,2021-12-13 13:51:41,IP Address,72.33.2.128,100,21,True,2021-12-13 13:51:41,R_29vqkRtAw4rkbbY,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Male,19,White or Caucasian,Some college,,English,
2021-12-13 13:54:11,2021-12-13 13:55:23,IP Address,72.33.0.82,100,72,True,2021-12-13 13:55:23,R_31ZOG80CjPIKZx9,,,,,43.0782012939453125,-89.407501220703125,anonymous,EN,I consent,Female,18,White or Caucasian,Some college,150000,English,
2021-12-13 16:53:05,2021-12-13 16:54:43,IP Address,153.33.9.123,100,97,True,2021-12-13 16:54:43,R_12fjMqJgWqdHLhW,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Male,18,White or Caucasian,High school graduate,150000,English,
2021-12-13 16:55:35,2021-12-13 17:00:49,IP Address,72.33.2.138,100,313,True,2021-12-13 17:00:49,R_3dFkHMF614q2dI3,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,,White or Caucasian,Some college,150000,English,
2021-12-13 16:58:21,2021-12-13 17:03:32,IP Address,153.33.9.20,100,310,True,2021-12-13 17:03:32,R_2dgN8FBoS7KKZLA,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,18,White or Caucasian,Some college,150000,English,
2021-12-13 16:53:12,2021-12-13 17:09:34,IP Address,72.33.2.133,100,982,True,2021-12-13 17:09:34,R_2XmSpB4iRfxXoct,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Male,18,Native Hawaiian or Pacific Islander,High school graduate,150000,English,
2021-12-14 08:38:43,2021-12-14 08:42:46,IP Address,72.33.2.99,100,242,True,2021-12-14 08:42:46,R_qIM78yBzNEWMXrr,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Male,,White or Caucasian,Some college,132676,English,
2021-12-14 08:55:37,2021-12-14 09:03:04,IP Address,72.33.2.41,100,446,True,2021-12-14 09:03:04,R_3PBoLT2h9fWaHOT,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Male,19,Black or African American,High school graduate,135634,English,
2021-12-14 09:04:52,2021-12-14 09:06:14,IP Address,72.33.2.41,100,81,True,2021-12-14 09:06:14,R_BrbxlAuv6rG0vQt,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Male,19,Black or African American,High school graduate,130986,English,
2021-12-14 09:08:05,2021-12-14 09:17:23,IP Address,72.33.2.130,100,557,True,2021-12-14 09:17:23,R_2wN3xXvM62zdXpc,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Male,20,White or Caucasian,Some college,62535,English,
2021-12-14 09:26:51,2021-12-14 09:38:01,IP Address,72.33.2.234,100,670,True,2021-12-14 09:38:01,R_tDs9ypIhelYaBFv,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,18,White or Caucasian,Some college,150000,English,
2021-12-14 09:52:41,2021-12-14 10:01:08,IP Address,72.33.2.232,100,506,True,2021-12-14 10:01:08,R_2Xnvm02UYfNsRwp,,,,,43.081207275390625,-89.38449859619140625,anonymous,EN,I consent,Female,19,White or Caucasian,Some college,150000,English,
