happiness,neutral,surprise,sadness,disgust,anger,fear,uncertain,photo_id,ethnicity,sex,age,label,url,photoId
0.0196078431372549,0.37254901960784315,0.0196078431372549,0.0,0.09803921568627451,0.27450980392156865,0.0,0.13725490196078433,Q2.1,bipoc,female,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bJXdODAZHOaG0rI,Q2.1
0.0,0.0196078431372549,0.0,0.0,0.09803921568627451,0.7843137254901961,0.0392156862745098,0.0392156862745098,Q3.1,bipoc,female,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_37SAhyROGBWVpVs, Q3.1
0.0,0.0392156862745098,0.0,0.0,0.0,0.9215686274509803,0.0196078431372549,0.0,Q4.1,bipoc,male,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3QLhY3LefdXzwfI, Q4.1
0.0,0.0196078431372549,0.058823529411764705,0.3333333333333333,0.0392156862745098,0.1568627450980392,0.0784313725490196,0.17647058823529413,Q5.1,bipoc,male,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_egtCOrU9KOm233M, Q5.1
0.0,0.09803921568627451,0.0392156862745098,0.0,0.0196078431372549,0.6862745098039216,0.0196078431372549,0.0392156862745098,Q6.1,white,female,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1Amo6fqrutcZYZo, Q6.1
0.0,0.0196078431372549,0.0,0.29411764705882354,0.0392156862745098,0.6078431372549019,0.0392156862745098,0.0,Q7.1,white,female,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1XqAx3FzoRDFZt4, Q7.1
0.0,0.2549019607843137,0.0196078431372549,0.0196078431372549,0.09803921568627451,0.3333333333333333,0.0196078431372549,0.13725490196078433,Q8.1,white,male,adult,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7PC2cgcyr5yUiOy, Q8.1
0.21568627450980393,0.0392156862745098,0.0,0.0,0.0196078431372549,0.47058823529411764,0.0,0.09803921568627451,Q9.1,white,male,child,anger,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9Gfr3sYkHq3hHG6, Q9.1
0.0,0.0,0.058823529411764705,0.0392156862745098,0.47058823529411764,0.0,0.0,0.21568627450980393,Q10.1,bipoc,female,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cvFjQlP07m9S7VY, Q10.1
0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.39215686274509803,0.1568627450980392,0.0,0.17647058823529413,Q11.1,bipoc,female,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4Zxryb4o2ZDgHDo, Q11.1
0.0,0.0,0.0196078431372549,0.0196078431372549,0.6666666666666666,0.23529411764705882,0.0196078431372549,0.0392156862745098,Q12.1,bipoc,male,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cIvdFisSzzSMNRI, Q12.1
0.0196078431372549,0.0196078431372549,0.27450980392156865,0.0,0.35294117647058826,0.17647058823529413,0.0,0.0784313725490196,Q13.1,bipoc,male,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_envzka9NlloQh7g, Q13.1
0.0,0.0196078431372549,0.0,0.0392156862745098,0.803921568627451,0.058823529411764705,0.0196078431372549,0.0392156862745098,Q14.1,white,female,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_er3kGiV5nUJCkse, Q14.1
0.5098039215686274,0.0,0.058823529411764705,0.0,0.19607843137254902,0.0392156862745098,0.0,0.058823529411764705,Q15.1,white,female,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_51ruTTJP1FaUeX4, Q15.1
0.0,0.0,0.0784313725490196,0.0196078431372549,0.8235294117647058,0.0392156862745098,0.0,0.0,Q16.1,white,male,adult,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4Iuz8TahQUf5rCu, Q16.1
0.09803921568627451,0.0196078431372549,0.0392156862745098,0.0196078431372549,0.45098039215686275,0.19607843137254902,0.0196078431372549,0.09803921568627451,Q17.1,white,male,child,disgust,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3dtGv9tzZmLa4Cy, Q17.1
0.0392156862745098,0.0196078431372549,0.0392156862745098,0.058823529411764705,0.1568627450980392,0.058823529411764705,0.5686274509803921,0.0196078431372549,Q18.1,bipoc,female,adult,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6qVleJUYoACmf6C, Q18.1
0.0,0.0,0.43137254901960786,0.0196078431372549,0.0196078431372549,0.0,0.5098039215686274,0.0196078431372549,Q19.1,bipoc,female,child,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4HJDfrqWWlJ7wRU, Q19.1
0.0,0.0,0.09803921568627451,0.0784313725490196,0.17647058823529413,0.0196078431372549,0.5686274509803921,0.0196078431372549,Q20.1,bipoc,male,adult,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_54KW05fRgzNmLfE, Q20.1
0.09803921568627451,0.0,0.39215686274509803,0.0196078431372549,0.0196078431372549,0.0,0.39215686274509803,0.0196078431372549,Q21.1,bipoc,male,child,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aY2MoY6bfggUc9E, Q21.1
0.0392156862745098,0.0,0.7647058823529411,0.0196078431372549,0.0,0.0,0.1568627450980392,0.0,Q22.1,white,female,adult,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1H2GqqCbhjjnp3g, Q22.1
0.0,0.0,0.0196078431372549,0.35294117647058826,0.0784313725490196,0.0392156862745098,0.47058823529411764,0.0196078431372549,Q23.1,white,female,child,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cXRPI85VJ3YAOdo, Q23.1
0.0196078431372549,0.0392156862745098,0.27450980392156865,0.0,0.058823529411764705,0.0196078431372549,0.45098039215686275,0.09803921568627451,Q24.1,white,male,adult,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1z4YnfSQVdhj1Rk, Q24.1
0.11764705882352941,0.0392156862745098,0.5098039215686274,0.0,0.0196078431372549,0.0392156862745098,0.058823529411764705,0.058823529411764705,Q25.1,white,male,child,fear,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_24ukMlBx2IZMMuO, Q25.1
0.37254901960784315,0.43137254901960786,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0,0.0,0.058823529411764705,Q26.1,bipoc,female,adult,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5uIGlackw1zchRY, Q26.1
0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,Q27.1,bipoc,female,child,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1LJr1XMUNEEqjEq, Q27.1
0.7058823529411765,0.1568627450980392,0.0392156862745098,0.0,0.0,0.0196078431372549,0.0,0.0392156862745098,Q28.1,bipoc,male,adult,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aVKZzBmzWSoXCXY, Q28.1
0.9607843137254902,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,Q29.1,bipoc,male,child,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_da53a1yGEedpOJg, Q29.1
0.8823529411764706,0.058823529411764705,0.0196078431372549,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,Q30.1,white,female,adult,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6hVt2pmEYV6YLwG, Q30.1
0.9019607843137255,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0196078431372549,Q31.1,white,female,child,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9shhhARAg1o8QcK, Q31.1
0.803921568627451,0.0196078431372549,0.11764705882352941,0.0,0.0,0.0,0.0,0.058823529411764705,Q32.1,white,male,adult,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3CWGONIxkNEfLbU, Q32.1
0.9607843137254902,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,Q33.1,white,male,child,happiness,https://uwmadison.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0lBpULniZBM24Pc, Q33.1
