StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q4,Q5,Q6_1,Q7,Q7_8_TEXT,random
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"UNIVERSITY OF WISCONSIN-MADISON

Research Participant Information and Consent Form 

Title of the Study: Learning meanings of words and objects

Principal Investigator: Tim Rogers (ttrogers@wisc.edu)

DESCRIPTION OF THE RESEARCH

You are invited to participate in a research study about the process by which people learn to recognize and understand the meanings of words and pictures. This study is recruiting Amazon Mechanical Turk workers above the age of 18. Your participation is voluntary. The research will be conducted online through a web browser.

WHAT WILL MY PARTICIPATION INVOLVE?

Participants will be asked to complete one session of less than half an hour. During this time you will view words or pictures on the computer screen and will be asked to press keys on the keyboard or mouse in response. You may also be asked to complete one or more questionnaires.

HOW WILL I BE COMPENSATED FOR PARTICIPATING?

You will be compensated with a payment equivalent to $8 per hour based on the expected time to complete the session. For example, a HIT expected to take 12 minutes to complete will be compensated with $1.60. The funds will be transferred to your Amazon Mechanical Turk account when you enter your study completion code.

ARE THERE ANY RISKS TO ME?

Participants may risk accidental breach of confidentiality. There are no other anticipated risks to subjects participating in this experiment.

ARE THERE ANY BENEFITS TO ME?

There are no direct benefits to you for participation in this study.

HOW WILL MY CONFIDENTIALITY BE PROTECTED?

All data will be identified only with a randomly-generated participant number and not with your name or other identifying information. While there will probably be publications as a result of this study, your name will not be used. Only group characteristics will be published.

WHOM SHOULD I CONTACT IF I HAVE QUESTIONS?

You may ask any questions about the research at any time by emailing the Principal Investigator Tim Rogers at ttrogers@wisc.edu. If you have questions about your rights as a research subject you should contact the Social & Behavioral Science IRB at UW Madison at (608) 263-2320.

Clicking “I consent” below indicates that you have read this document and voluntarily consent to participate in the study.",Please select the gender identity that you identify as:,Please move the slider to select your age : - Age in years,Please select the ethnicity that you identify as:,Please select your highest level of education you have completed:,Please move the slider to select your approximated annual household income: - In US Dollars,Please select all the languages that you speak fluently: - Selected Choice,Please select all the languages that you speak fluently: - Other - Text,random
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_8_TEXT""}","{""ImportId"":""random""}"
2021-12-29 08:54:36,2021-12-29 08:55:20,IP Address,107.208.176.119,100,43,True,2021-12-29 08:55:20,R_WqwWEc4R4uucbRL,,,,,43.1204986572265625,-89.35230255126953125,anonymous,EN,I consent,Non-binary / third gender,33,Hispanic or Latino,Master's degree,32567,"English,Spanish",,8996
2021-12-29 09:02:15,2021-12-29 09:09:29,IP Address,154.13.50.37,100,433,True,2021-12-29 09:09:29,R_31Yn2ANlLA6AM4o,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,I consent,Female,39,White or Caucasian,4 year degree,102042,English,,8654
2021-12-29 09:05:26,2021-12-29 09:11:59,IP Address,131.150.253.254,100,392,True,2021-12-29 09:11:59,R_12hGIkoCezTn8x3,,,,,46.2212982177734375,-119.7729034423828125,anonymous,EN,I consent,Male,30,White or Caucasian,4 year degree,30000,"English,Chinese",,6258
2021-12-29 09:11:24,2021-12-29 09:12:14,IP Address,136.175.195.45,100,50,True,2021-12-29 09:12:14,R_3PSHUD2oocVF40h,,,,,36.837493896484375,-76.09760284423828125,anonymous,EN,I consent,Male,48,White or Caucasian,4 year degree,70352,English,,2206
2021-12-29 09:08:46,2021-12-29 09:12:56,IP Address,174.80.16.70,100,250,True,2021-12-29 09:12:57,R_SNS4K5hKs0MTiIV,,,,,35.6172943115234375,-87.03170013427734375,anonymous,EN,I consent,Male,29,White or Caucasian,4 year degree,62113,English,,9553
2021-12-29 09:15:50,2021-12-29 09:16:42,IP Address,136.175.195.42,100,51,True,2021-12-29 09:16:42,R_2wSvtoylhVH6nXX,,,,,36.837493896484375,-76.09760284423828125,anonymous,EN,I consent,Female,49,White or Caucasian,Master's degree,43310,English,,7894
2021-12-29 09:15:47,2021-12-29 09:16:48,IP Address,154.13.55.208,100,60,True,2021-12-29 09:16:48,R_1M3W9AaGW4AXGci,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,I consent,Female,48,White or Caucasian,Master's degree,44789,English,,3385
2021-12-29 09:16:02,2021-12-29 09:17:22,IP Address,136.175.195.40,100,79,True,2021-12-29 09:17:22,R_2yqpgYbUsIe9VUY,,,,,36.837493896484375,-76.09760284423828125,anonymous,EN,I consent,Female,49,White or Caucasian,Master's degree,51549,English,,1601
