StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q4,Q5,Q6_1,Q7,Q7_8_TEXT,random
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"UNIVERSITY OF WISCONSIN-MADISON

Research Participant Information and Consent Form 

Title of the Study: Learning meanings of words and objects

Principal Investigator: Tim Rogers (ttrogers@wisc.edu)

DESCRIPTION OF THE RESEARCH

You are invited to participate in a research study about the process by which people learn to recognize and understand the meanings of words and pictures. This study is recruiting Amazon Mechanical Turk workers above the age of 18. Your participation is voluntary. The research will be conducted online through a web browser.

WHAT WILL MY PARTICIPATION INVOLVE?

Participants will be asked to complete one session of less than half an hour. During this time you will view words or pictures on the computer screen and will be asked to press keys on the keyboard or mouse in response. You may also be asked to complete one or more questionnaires.

HOW WILL I BE COMPENSATED FOR PARTICIPATING?

You will be compensated with a payment equivalent to $8 per hour based on the expected time to complete the session. For example, a HIT expected to take 12 minutes to complete will be compensated with $1.60. The funds will be transferred to your Amazon Mechanical Turk account when you enter your study completion code.

ARE THERE ANY RISKS TO ME?

Participants may risk accidental breach of confidentiality. There are no other anticipated risks to subjects participating in this experiment.

ARE THERE ANY BENEFITS TO ME?

There are no direct benefits to you for participation in this study.

HOW WILL MY CONFIDENTIALITY BE PROTECTED?

All data will be identified only with a randomly-generated participant number and not with your name or other identifying information. While there will probably be publications as a result of this study, your name will not be used. Only group characteristics will be published.

WHOM SHOULD I CONTACT IF I HAVE QUESTIONS?

You may ask any questions about the research at any time by emailing the Principal Investigator Tim Rogers at ttrogers@wisc.edu. If you have questions about your rights as a research subject you should contact the Social & Behavioral Science IRB at UW Madison at (608) 263-2320.

Clicking “I consent” below indicates that you have read this document and voluntarily consent to participate in the study.",Please select the gender identity that you identify as:,Please move the slider to select your age : - Age in years,Please select the ethnicity that you identify as:,Please select your highest level of education you have completed:,Please move the slider to select your approximated annual household income: - In US Dollars,Please select all the languages that you speak fluently: - Selected Choice,Please select all the languages that you speak fluently: - Other - Text,random
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_8_TEXT""}","{""ImportId"":""random""}"
2021-12-29 13:27:03,2021-12-29 13:27:31,IP Address,107.208.176.119,100,28,True,2021-12-29 13:27:31,R_3JgUFeVJzAH6VwK,,,,,43.1204986572265625,-89.35230255126953125,anonymous,EN,I consent,Non-binary / third gender,33,Hispanic or Latino,Master's degree,29609,"English,Spanish",,5099
2021-12-29 13:28:55,2021-12-29 13:31:22,IP Address,174.26.13.254,100,147,True,2021-12-29 13:31:22,R_3HoWZPBGwVIPKla,,,,,33.3874053955078125,-112.09980010986328125,anonymous,EN,I consent,Male,24,Native Hawaiian or Pacific Islander,4 year degree,81761,English,,3964
2021-12-29 13:35:45,2021-12-29 13:40:36,IP Address,72.229.168.172,100,291,True,2021-12-29 13:40:36,R_0rpvG38ZioxapGx,,,,,40.7259979248046875,-73.84799957275390625,anonymous,EN,I consent,Female,25,Black or African American,4 year degree,41613,English,,2236
2021-12-29 13:37:46,2021-12-29 13:42:18,IP Address,172.100.99.193,100,272,True,2021-12-29 13:42:19,R_2U5Hf5jURzuZYvX,,,,,42.67010498046875,-73.77539825439453125,anonymous,EN,I consent,Female,33,Black or African American,Master's degree,66972,English,,2012
2021-12-29 14:08:57,2021-12-29 14:11:44,IP Address,208.203.211.121,100,167,True,2021-12-29 14:11:44,R_XM2mn2UgEoZk1C9,,,,,39.9844970703125,-75.58599853515625,anonymous,EN,I consent,Male,73,White or Caucasian,4 year degree,88521,English,,6517
2021-12-29 14:17:03,2021-12-29 14:22:00,IP Address,208.203.210.186,100,296,True,2021-12-29 14:22:00,R_1gFV5WbELDJHdFb,,,,,39.9844970703125,-75.58599853515625,anonymous,EN,I consent,Male,35,White or Caucasian,4 year degree,70986,English,,2168
2021-12-29 15:00:34,2021-12-29 15:08:40,IP Address,71.194.212.51,100,486,True,2021-12-29 15:08:41,R_AMUuf3hCRMUdHe9,,,,,41.527099609375,-87.25330352783203125,anonymous,EN,I consent,Male,38,White or Caucasian,High school graduate,36127,English,,9571
2021-12-29 15:20:27,2021-12-29 15:24:00,IP Address,70.186.124.20,100,213,True,2021-12-29 15:24:01,R_1jNSnUpCYi15GTC,,,,,29.93170166015625,-90.10260009765625,anonymous,EN,I consent,Female,37,White or Caucasian,4 year degree,50493,English,,1282
